feature,perm_imp,scoring
gnomad_max_af,0.06325020074254872,roc_auc
max_mgi_kid,0.06267639506133586,roc_auc
gnomad_oe_lof_upper_rank,0.03163026800124027,roc_auc
gtex_liver,0.018250677754545606,roc_auc
gnomad_syn_z,0.008419460499431607,roc_auc
no_paralogues_75,0.0032506380035457914,roc_auc
gnomad_oe_lof,0.002809600661456724,roc_auc
avg_phasCons_exons,0.00225030409514797,roc_auc
no_paralogues_85,0.002069437046341771,roc_auc
gnomad_oe_syn,0.001973438381975323,roc_auc
gtex_kidney,0.0019221595923137435,roc_auc
CL_1001432_me,0.0017792547482569753,roc_auc
gtex_tau,0.001533792324877048,roc_auc
gnomad_lof_z,0.0014689981953046605,roc_auc
gnomad_exp_mis_pphen,0.0012386411518249929,roc_auc
gnomad_num_coding_exons,0.0005942774460778288,roc_auc
gtex_pancreas,0.0005879172861198212,roc_auc
no_paralogues_95,0.0005219306265553004,roc_auc
gnomad_obs_mis_pphen,0.000519545566571078,roc_auc
gnomad_pNull,0.00038796975743939923,roc_auc
metanephric_perc_expr,0.0003289395228289749,roc_auc
metanephric_nTPM,0.0003192005278933374,roc_auc
CL_1001431_me,0.0003116478379431964,roc_auc
gnomad_pLI,0.00024128856840752722,roc_auc
gnomad_oe_mis_pphen,0.00023910226342196416,roc_auc
CL_0002306_me,0.00021743796856497078,roc_auc
CL_0000115_pc,0.00020471764864888887,roc_auc
gnomad_possible_syn,0.0,roc_auc
CL_0000653_me,0.0,roc_auc
gnomad_n_sites,0.0,roc_auc
gnomad_classic_caf,0.0,roc_auc
gnomad_exp_syn,0.0,roc_auc
gnomad_p,0.0,roc_auc
gnomad_exp_hom_lof,0.0,roc_auc
gnomad_obs_syn,0.0,roc_auc
gnomad_cds_length,0.0,roc_auc
gnomad_possible_lof,0.0,roc_auc
gnomad_possible_mis_pphen,0.0,roc_auc
CL_0000115_me,0.0,roc_auc
gnomad_possible_mis,0.0,roc_auc
gnomad_mu_mis,0.0,roc_auc
gnomad_exp_lof,0.0,roc_auc
CL_1000692_me,0.0,roc_auc
CL_1000768_me,0.0,roc_auc
CL_1000849_me,0.0,roc_auc
CL_1001106_me,0.0,roc_auc
CL_1001107_me,0.0,roc_auc
CL_1001111_me,0.0,roc_auc
CL_1001318_me,0.0,roc_auc
gnomad_oe_mis,0.0,roc_auc
gnomad_exp_mis,0.0,roc_auc
CL_1000452_me,0.0,roc_auc
gnomad_gene_length,0.0,roc_auc
gnomad_mu_syn,0.0,roc_auc
gnomad_obs_mis,0.0,roc_auc
gtex_adrenal_gland,0.0,roc_auc
CL_1001431_pc,0.0,roc_auc
avg_phasCons_promoter,0.0,roc_auc
gtex_endometrium,0.0,roc_auc
gtex_colon,0.0,roc_auc
gtex_cervix,0.0,roc_auc
fetal_kidney_tau,0.0,roc_auc
CL_1000768_pc,0.0,roc_auc
CL_1000849_pc,0.0,roc_auc
CL_1001106_pc,0.0,roc_auc
prom_CpG_o2e_ratio,0.0,roc_auc
CL_1001111_pc,0.0,roc_auc
CL_1001318_pc,0.0,roc_auc
CL_1001432_pc,0.0,roc_auc
gnomad_obs_lof,0.0,roc_auc
CL_1000452_pc,0.0,roc_auc
mesangial_perc_expr,0.0,roc_auc
gtex_breast,0.0,roc_auc
ureteric_bud_perc_expr,0.0,roc_auc
stromal_perc_expr,0.0,roc_auc
vascular_endothelial_perc_expr,0.0,roc_auc
mesangial_nTPM,0.0,roc_auc
ureteric_bud_nTPM,0.0,roc_auc
stromal_nTPM,0.0,roc_auc
vascular_endothelial_nTPM,0.0,roc_auc
gtex_adipose_tissue,0.0,roc_auc
gtex_brain_median,0.0,roc_auc
gtex_vagina,0.0,roc_auc
gtex_urinary_bladder,0.0,roc_auc
gtex_thyroid_gland,0.0,roc_auc
gnomad_mu_lof,0.0,roc_auc
CL_0000653_pc,0.0,roc_auc
gnomad_pRec,0.0,roc_auc
avg_exon_CpG_o2e_ratio,0.0,roc_auc
CL_1001107_pc,0.0,roc_auc
CL_0002306_pc,0.0,roc_auc
CL_1000692_pc,0.0,roc_auc
gtex_esophagus,0.0,roc_auc
gtex_fallopian_tube,0.0,roc_auc
gtex_heart_muscle,0.0,roc_auc
gtex_lung,0.0,roc_auc
gtex_ovary,0.0,roc_auc
gtex_pituitary_gland,0.0,roc_auc
gtex_prostate,0.0,roc_auc
gtex_retina,0.0,roc_auc
gtex_salivary_gland,0.0,roc_auc
gtex_skeletal_muscle,0.0,roc_auc
gtex_skin,0.0,roc_auc
gtex_small_intestine,0.0,roc_auc
gtex_spinal_cord,0.0,roc_auc
gtex_spleen,0.0,roc_auc
gtex_stomach,0.0,roc_auc
gtex_testis,0.0,roc_auc
gnomad_mis_z,0.0,roc_auc
