mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__learning_rate,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,start_time,end_time,ID
0.2116015911102295,0.04432335969231836,0.003094387054443359,0.00035918198189390237,0.01,5,"{'classifier__learning_rate': 0.01, 'classifier__n_estimators': 5}",0.8270357497517379,0.8235600794438928,0.9105450236966824,0.8500873035669743,0.8748565727113993,0.8572169458341374,0.032402349840452725,90,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.3188773155212402,0.0006952418318218762,0.002781391143798828,3.134057339212571e-05,0.01,10,"{'classifier__learning_rate': 0.01, 'classifier__n_estimators': 10}",0.8491559086395234,0.8248262164846077,0.9125197472353871,0.8783487153903715,0.875904215515091,0.8681509606529962,0.029565323754983146,88,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.4467991828918457,0.00133122588407361,0.0036687374114990233,0.00020914544153818613,0.01,15,"{'classifier__learning_rate': 0.01, 'classifier__n_estimators': 15}",0.8509930486593843,0.8380834160873882,0.9189622827804108,0.8862808680468944,0.8836368171613869,0.875591286547093,0.028537535574675,83,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.5742217540740967,0.0030189918081728047,0.004396677017211914,0.0002373076304917475,0.01,20,"{'classifier__learning_rate': 0.01, 'classifier__n_estimators': 20}",0.8629344587884806,0.8585402184707052,0.9180983412322277,0.8898977301072586,0.8877026689947618,0.8834346835186867,0.021454833680668296,80,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.6981701374053955,0.002951204822003399,0.00526738166809082,0.00019728765023165697,0.01,25,"{'classifier__learning_rate': 0.01, 'classifier__n_estimators': 25}",0.8804121151936445,0.867279046673287,0.9184439178515007,0.8922424544774257,0.8880768271389374,0.8892908722669592,0.016872691564214334,72,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.8224913597106933,0.002046894461613135,0.005831098556518555,8.263501278554242e-05,0.01,30,"{'classifier__learning_rate': 0.01, 'classifier__n_estimators': 30}",0.8856007944389275,0.8687437934458789,0.9175799763033174,0.895260663507109,0.8866799700673484,0.8907730395525162,0.015921957468047327,67,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.9500282287597657,0.0028331276700922464,0.006753778457641602,0.0002564891338920659,0.01,35,"{'classifier__learning_rate': 0.01, 'classifier__n_estimators': 35}",0.8808838133068521,0.8704816285998014,0.9173578199052134,0.8981292092791219,0.88972312297331,0.8913151188128599,0.01593759711398484,66,2024-02-22--17-24-49,2024-02-22--17-30-08,100
1.075819158554077,0.0026406477415635513,0.007421302795410156,0.0002256613601332683,0.01,40,"{'classifier__learning_rate': 0.01, 'classifier__n_estimators': 40}",0.8812065541211519,0.8789970208540216,0.9211097946287521,0.898727862309803,0.8888750311798452,0.8937832526187147,0.015310687089835883,60,2024-02-22--17-24-49,2024-02-22--17-30-08,100
1.2067014217376708,0.0040526441372534736,0.00840606689453125,0.0002669048702899529,0.01,45,"{'classifier__learning_rate': 0.01, 'classifier__n_estimators': 45}",0.8814051638530288,0.8825223435948361,0.9237509873617693,0.9049638313793964,0.8881017710152158,0.8961488194408492,0.016170314294101623,58,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.18808908462524415,0.0011956303315399832,0.002799320220947266,2.070890108625993e-05,0.016681005372000592,5,"{'classifier__learning_rate': 0.016681005372000592, 'classifier__n_estimators': 5}",0.8384061569016882,0.828103277060576,0.9112361769352291,0.8681217261162384,0.875904215515091,0.8643543105057645,0.029437891321633693,89,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.31953959465026854,0.0008566025050573713,0.0028016090393066405,6.638378198637776e-05,0.016681005372000592,10,"{'classifier__learning_rate': 0.016681005372000592, 'classifier__n_estimators': 10}",0.8509930486593843,0.8380834160873882,0.9182464454976303,0.8864305313045646,0.8817909703167872,0.8751088823731509,0.028235219055354643,84,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.4455439567565918,0.0012188372787758203,0.0035557270050048826,7.639660484950752e-05,0.016681005372000592,15,"{'classifier__learning_rate': 0.016681005372000592, 'classifier__n_estimators': 15}",0.8636792452830189,0.8676266137040716,0.9198509083728279,0.892192566724869,0.8884010975305563,0.8863500863230687,0.020125514962881497,75,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.571758222579956,0.0013031770350272625,0.0044060230255126955,0.00023984759275298616,0.016681005372000592,20,"{'classifier__learning_rate': 0.016681005372000592, 'classifier__n_estimators': 20}",0.8812065541211519,0.8694885799404172,0.9151362559241707,0.8926914442504366,0.8898228984784236,0.88966914654292,0.015077150408629194,71,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.6964898109436035,0.0008522376344523321,0.005113554000854492,0.00010961773788243874,0.016681005372000592,25,"{'classifier__learning_rate': 0.016681005372000592, 'classifier__n_estimators': 25}",0.881454816285998,0.8786991062562065,0.9176293443917853,0.9010226989274134,0.8882763781491644,0.8934164688021136,0.014354236337642205,62,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.8241189956665039,0.0028234600319948988,0.005878639221191406,0.00014887153908428081,0.016681005372000592,30,"{'classifier__learning_rate': 0.016681005372000592, 'classifier__n_estimators': 30}",0.8836891757696127,0.8840119165839126,0.9243927725118485,0.9048141681217261,0.8870541282115241,0.8967924322397248,0.015849280776068446,57,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.9505956172943115,0.002531377697512724,0.0068241596221923825,0.000207592994119672,0.016681005372000592,35,"{'classifier__learning_rate': 0.016681005372000592, 'classifier__n_estimators': 35}",0.8849056603773585,0.8905412115193645,0.9235288309636651,0.9053379895235719,0.8873783986031428,0.8983384181974206,0.014456198243129962,55,2024-02-22--17-24-49,2024-02-22--17-30-08,100
1.0749077320098877,0.000816029463627615,0.00781092643737793,5.243183958945621e-05,0.016681005372000592,40,"{'classifier__learning_rate': 0.016681005372000592, 'classifier__n_estimators': 40}",0.8861966236345582,0.8942154915590864,0.9238497235387046,0.908081815914193,0.8905961586430531,0.9005879626579191,0.013746436121145528,51,2024-02-22--17-24-49,2024-02-22--17-30-08,100
1.2068726062774657,0.005577941474361176,0.00854649543762207,0.0002319769207113053,0.016681005372000592,45,"{'classifier__learning_rate': 0.016681005372000592, 'classifier__n_estimators': 45}",0.888157894736842,0.8999006951340616,0.9297492101105845,0.9106260912945872,0.8951359441257172,0.9047139670803584,0.014496387469292797,42,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.18795738220214844,0.0009685247346350681,0.00278325080871582,1.3868011740581394e-05,0.027825594022071243,5,"{'classifier__learning_rate': 0.027825594022071243, 'classifier__n_estimators': 5}",0.8491559086395234,0.8250744786494538,0.9192338072669827,0.8783487153903715,0.8785482664005986,0.870072235269386,0.03168436273217116,86,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.3186614513397217,0.0005027475541931378,0.0027960777282714845,7.753841390641754e-05,0.027825594022071243,10,"{'classifier__learning_rate': 0.027825594022071243, 'classifier__n_estimators': 10}",0.8853277060575968,0.8683217477656406,0.9173331358609795,0.8904464953853828,0.890995260663507,0.8904848691466214,0.01574097632350837,68,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.4458052158355713,0.0019487547549375671,0.0036008358001708984,9.101133904533068e-05,0.027825594022071243,15,"{'classifier__learning_rate': 0.027825594022071243, 'classifier__n_estimators': 15}",0.881082423038729,0.8801638530287983,0.9167900868878358,0.900199551010227,0.8892741332002992,0.8935020094331779,0.013691012341151847,61,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.5713221549987793,0.0014905887113743797,0.004402780532836914,0.00011995365441755844,0.027825594022071243,20,"{'classifier__learning_rate': 0.027825594022071243, 'classifier__n_estimators': 20}",0.8854021847070507,0.8909384309831181,0.9225414691943128,0.9053379895235719,0.8939386380643551,0.8996317424944819,0.013174841559045233,52,2024-02-22--17-24-49,2024-02-22--17-30-08,100
