mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,start_time,end_time,ID
0.44307904243469237,0.13403835755616142,0.0027266979217529298,0.0005275995674483898,1e-06,"(100,)","{'alpha': 1e-06, 'hidden_layer_sizes': (100,)}",0.895134061569017,0.8991559086395233,0.8867002369668245,0.8942878523322524,0.7978548266400599,0.8746265772295354,0.03859659492764689,10,2023-10-31--11-55-13,2023-10-31--11-57-39,8
0.41135497093200685,0.06181409306734252,0.0025426387786865235,0.00040063804684544206,1e-06,"(50,)","{'alpha': 1e-06, 'hidden_layer_sizes': (50,)}",0.8959285004965243,0.9014399205561072,0.9082740916271722,0.8599401346969319,0.8004988775255675,0.8732163049804604,0.04001386174550772,12,2023-10-31--11-55-13,2023-10-31--11-57-39,8
0.2300699234008789,0.04124831484990845,0.002431774139404297,0.0004477315458086772,1e-06,"(25,)","{'alpha': 1e-06, 'hidden_layer_sizes': (25,)}",0.8770605759682224,0.8884806355511421,0.8825039494470776,0.8519830381641307,0.8370416562733849,0.8674139710807915,0.019622232198678192,27,2023-10-31--11-55-13,2023-10-31--11-57-39,8
0.22243742942810057,0.05766338926250129,0.002385377883911133,0.0002834913004365821,1e-06,"(10,)","{'alpha': 1e-06, 'hidden_layer_sizes': (10,)}",0.8540714995034757,0.880883813306852,0.8528337282780412,0.8442005487652781,0.8646545273135445,0.8593288234334382,0.012583092788969356,44,2023-10-31--11-55-13,2023-10-31--11-57-39,8
0.42513313293457033,0.12506547220614342,0.0023035049438476563,0.00014325894522090884,1e-06,"(50, 50)","{'alpha': 1e-06, 'hidden_layer_sizes': (50, 50)}",0.871002979145978,0.8698609731876861,0.8736670616113744,0.8910451484160639,0.8091294587178848,0.8629411242157975,0.027976615476612843,34,2023-10-31--11-55-13,2023-10-31--11-57-39,8
0.21194810867309571,0.06800337370863177,0.002440023422241211,0.00035667777697145935,1e-06,"(25, 25)","{'alpha': 1e-06, 'hidden_layer_sizes': (25, 25)}",0.8849056603773585,0.8702830188679246,0.900227093206951,0.8482913444749314,0.5561486655026191,0.811971156485957,0.12905280195897564,58,2023-10-31--11-55-13,2023-10-31--11-57-39,8
0.41728715896606444,0.13699255976628782,0.0024847984313964844,0.00034574057974418726,1e-05,"(100,)","{'alpha': 1e-05, 'hidden_layer_sizes': (100,)}",0.895134061569017,0.8991062562065542,0.8914395734597157,0.8939386380643553,0.7979047143926168,0.8755046487384519,0.03887887169651124,8,2023-10-31--11-55-13,2023-10-31--11-57-39,8
0.36976065635681155,0.07751401723620306,0.0021732330322265627,0.0001379310640436227,1e-05,"(50,)","{'alpha': 1e-05, 'hidden_layer_sizes': (50,)}",0.8867924528301887,0.8978649453823238,0.9082740916271722,0.8599401346969319,0.800598653030681,0.8706940555134594,0.03857119917475222,16,2023-10-31--11-55-13,2023-10-31--11-57-39,8
0.21796865463256837,0.03844017082376506,0.0021341800689697265,0.00014348580764086624,1e-05,"(25,)","{'alpha': 1e-05, 'hidden_layer_sizes': (25,)}",0.8766633565044688,0.8906156901688183,0.8825039494470776,0.8520828136692441,0.8370416562733849,0.8677814932125987,0.020042080122589248,25,2023-10-31--11-55-13,2023-10-31--11-57-39,8
0.2186122417449951,0.05671938912548437,0.0022171974182128907,0.0003913936094055544,1e-05,"(10,)","{'alpha': 1e-05, 'hidden_layer_sizes': (10,)}",0.8675273088381331,0.8750744786494539,0.8528337282780412,0.8297580444000997,0.8646545273135445,0.8579696174958544,0.01581697804729839,47,2023-10-31--11-55-13,2023-10-31--11-57-39,8
0.48224878311157227,0.17042849833552423,0.0023466110229492187,0.00019692535243953662,1e-05,"(50, 50)","{'alpha': 1e-05, 'hidden_layer_sizes': (50, 50)}",0.8584905660377359,0.8792701092353525,0.8733708530805686,0.8892990770765777,0.7314542279870291,0.8463769666834529,0.058321370781493416,52,2023-10-31--11-55-13,2023-10-31--11-57-39,8
0.212186861038208,0.06923886271499852,0.002115154266357422,5.4856918429165874e-05,1e-05,"(25, 25)","{'alpha': 1e-05, 'hidden_layer_sizes': (25, 25)}",0.8849056603773585,0.8702830188679246,0.900227093206951,0.8482913444749313,0.5561486655026191,0.811971156485957,0.12905280195897564,58,2023-10-31--11-55-13,2023-10-31--11-57-39,8
