feature,perm_imp,scoring
gnomad_pLI,0.07548595597179278,roc_auc
gtex_kidney,0.043454600383199704,roc_auc
gnomad_p,0.030900837156054517,roc_auc
gtex_adipose_tissue,0.021137594110491965,roc_auc
max_mgi_kid,0.015853096205369545,roc_auc
gnomad_exp_hom_lof,0.011013411987311473,roc_auc
gnomad_max_af,0.01096769833761324,roc_auc
gtex_brain_median,0.008976968270752006,roc_auc
gtex_adrenal_gland,0.006524331586939503,roc_auc
gtex_liver,0.006329551688224977,roc_auc
gtex_spinal_cord,0.005205393415644433,roc_auc
gnomad_syn_z,0.004429056390768249,roc_auc
gtex_colon,0.00431377849152903,roc_auc
no_paralogues_75,0.004296288051644526,roc_auc
avg_phasCons_exons,0.004078452573082236,roc_auc
gtex_skeletal_muscle,0.004029558843404946,roc_auc
gtex_lung,0.0032611720184763104,roc_auc
gnomad_oe_syn,0.0031335713093184614,roc_auc
gtex_salivary_gland,0.0028831400109713633,roc_auc
gtex_retina,0.002755936811810811,roc_auc
no_paralogues_85,0.0026986953721886532,roc_auc
gnomad_oe_mis_pphen,0.0024840399736053564,roc_auc
gtex_fallopian_tube,0.0024208358840224877,roc_auc
gtex_small_intestine,0.0021397963158773735,roc_auc
gtex_esophagus,0.0021290635459481734,roc_auc
metanephric_perc_expr,0.0018400737778555775,roc_auc
gtex_ovary,0.001830931047915918,roc_auc
gnomad_gene_length,0.0017550066384170338,roc_auc
gtex_urinary_bladder,0.0017112805387056174,roc_auc
gtex_stomach,0.001526438389925544,roc_auc
metanephric_nTPM,0.001509742970035788,roc_auc
gtex_cervix,0.0014771471502509127,roc_auc
gtex_vagina,0.0013932725408044133,roc_auc
gtex_pituitary_gland,0.0013622667610090566,roc_auc
gtex_skin,0.0011233632525858405,roc_auc
mesangial_perc_expr,0.0010057002933624216,roc_auc
gtex_thyroid_gland,0.0009214281739185814,roc_auc
gtex_heart_muscle,0.0008510689043829567,roc_auc
gnomad_obs_lof,0.0007862747748105692,roc_auc
gtex_endometrium,0.0007767345348736132,roc_auc
mesangial_nTPM,0.000766399274941798,roc_auc
vascular_endothelial_perc_expr,0.0007135304452907665,roc_auc
avg_phasCons_promoter,0.000682524665495321,roc_auc
gtex_testis,0.0005732094162168577,roc_auc
vascular_endothelial_nTPM,0.0005628741562850647,roc_auc
gtex_tau,0.0005457812263979456,roc_auc
fetal_kidney_tau,0.0004889372967731065,roc_auc
gnomad_n_sites,0.0003863797174499473,roc_auc
no_paralogues_95,0.0003847896774604065,roc_auc
gnomad_oe_lof,0.0003498087976913089,roc_auc
stromal_perc_expr,0.0003358959477830936,roc_auc
gnomad_pRec,0.00032436815785916726,roc_auc
ureteric_bud_nTPM,0.0003021075980061072,roc_auc
gnomad_classic_caf,0.00025122631834189056,roc_auc
gtex_pancreas,0.00024844374836030525,roc_auc
avg_exon_CpG_o2e_ratio,0.00019597242870665886,roc_auc
prom_CpG_o2e_ratio,0.00018841973875647345,roc_auc
gtex_prostate,0.00014350110905296808,roc_auc
ureteric_bud_perc_expr,0.00013992351907654577,roc_auc
gnomad_pNull,0.0001339608691159011,roc_auc
gnomad_cds_length,2.9018229808519537e-05,roc_auc
gnomad_oe_mis,2.385059984268967e-05,roc_auc
